Date,Open,High,Low,Close,Volume,Adj Close
2014-11-11,5524.00,5533.80,5508.40,5517.10,612622700,5517.10
2014-11-10,5549.10,5550.30,5501.40,5524.00,583270400,5524.00
2014-11-07,5506.10,5549.10,5500.30,5549.10,729595000,5549.10
2014-11-06,5517.90,5547.50,5493.00,5506.10,610609500,5506.10
2014-11-05,5519.90,5519.90,5481.00,5517.90,577623800,5517.90
2014-11-04,5506.90,5530.90,5503.80,5519.90,445344300,5519.90
2014-11-03,5526.60,5535.70,5499.10,5506.90,514872500,5506.90
2014-10-31,5476.20,5526.60,5476.20,5526.60,726033900,5526.60
2014-10-30,5447.60,5476.90,5447.60,5476.20,658927600,5476.20
2014-10-29,5452.60,5481.60,5441.30,5447.70,688817500,5447.70
2014-10-28,5459.00,5459.00,5433.10,5452.60,609644400,5452.60
2014-10-27,5412.20,5462.30,5412.20,5459.00,566298000,5459.00
2014-10-24,5383.10,5425.70,5383.10,5412.20,600455400,5412.20
2014-10-23,5385.90,5389.20,5364.50,5383.10,593525900,5383.10
2014-10-22,5325.00,5388.00,5325.00,5385.90,575533300,5385.90
2014-10-21,5319.40,5344.50,5312.10,5325.00,745617900,5325.00
2014-10-20,5271.70,5342.00,5271.70,5319.40,462719200,5319.40
2014-10-17,5254.90,5308.50,5254.90,5271.70,736385900,5271.70
2014-10-16,5245.60,5258.60,5162.40,5254.90,835001500,5254.90
2014-10-15,5207.40,5252.80,5206.10,5245.60,649120000,5245.60
2014-10-14,5155.50,5217.70,5130.70,5207.40,817870000,5207.40
2014-10-13,5188.30,5188.30,5122.00,5155.50,638876300,5155.50
2014-10-10,5295.70,5295.70,5187.60,5188.30,710522700,5188.30
2014-10-09,5241.30,5324.60,5241.30,5296.70,626015400,5296.70
2014-10-08,5284.20,5284.20,5209.70,5241.30,528201500,5241.30
2014-10-07,5292.90,5319.60,5208.30,5284.20,678518900,5284.20
2014-10-06,5318.20,5320.90,5277.90,5292.90,327021400,5292.90
2014-10-03,5297.70,5318.60,5281.20,5318.20,488425500,5318.20
2014-10-02,5334.10,5334.10,5283.00,5297.70,541554500,5297.70
2014-10-01,5292.80,5337.20,5244.00,5334.10,606397100,5334.10
2014-09-30,5264.20,5292.80,5253.10,5292.80,647245100,5292.80
2014-09-29,5313.40,5313.40,5259.90,5264.20,545039800,5264.20
2014-09-26,5382.20,5382.20,5309.80,5313.40,624443300,5313.40
2014-09-25,5375.80,5412.90,5373.30,5382.20,535408100,5382.20
2014-09-24,5415.70,5415.70,5356.90,5375.80,571805300,5375.80
2014-09-23,5363.00,5423.20,5338.00,5415.70,629951400,5415.70
2014-09-22,5433.20,5434.00,5351.10,5363.00,628233500,5363.00
2014-09-19,5415.80,5443.20,5415.50,5433.10,974436600,5433.10
2014-09-18,5407.30,5431.70,5373.40,5415.80,830242100,5415.80
2014-09-17,5445.40,5462.10,5400.20,5407.30,705714300,5407.30
2014-09-16,5468.20,5484.50,5440.50,5445.40,627043900,5445.40
2014-09-15,5531.10,5531.10,5473.50,5473.50,596340100,5473.50
2014-09-12,5546.10,5548.70,5509.80,5531.10,544595600,5531.10
