,Date,symbol,Negative,Positive,CloseClass
12,2000-01-11,AXP,0.0,1.0,Gain
81,2000-04-13,AXP,0.0,0.0,Loss
128,2000-06-01,AXP,0.0,0.0,Loss
172,2000-07-21,AXP,0.0,1.0,Gain
205,2000-09-14,AXP,0.0,0.0,Loss
220,2000-09-29,AXP,0.0,1.0,Loss
231,2000-10-11,AXP,0.0,0.0,Loss
233,2000-10-12,AXP,0.0,1.0,Loss
282,2000-12-04,AXP,1.0,0.0,Loss
308,2001-01-04,AXP,1.0,0.0,Loss
323,2001-01-23,AXP,0.0,1.0,Gain
361,2001-03-14,AXP,0.0,0.0,Loss
384,2001-04-02,AXP,0.0,1.0,Loss
394,2001-04-18,AXP,0.0,0.0,Gain
408,2001-04-26,AXP,0.0,0.0,Gain
412,2001-05-08,AXP,1.0,0.0,Loss
474,2001-07-31,AXP,0.0,0.0,Gain
480,2001-08-09,AXP,0.0,0.0,Gain
494,2001-09-17,AXP,1.0,0.0,Loss
499,2001-09-18,AXP,1.0,0.0,Loss
511,2001-09-21,AXP,0.0,1.0,Loss
573,2001-11-16,AXP,1.0,0.0,Loss
592,2001-12-11,AXP,0.0,1.0,Gain
600,2001-12-14,AXP,0.0,1.0,Loss
648,2002-02-14,AXP,0.0,1.0,Gain
669,2002-03-11,AXP,0.0,1.0,Gain
671,2002-03-12,AXP,0.0,1.0,Loss
714,2002-04-19,AXP,0.0,2.0,Gain
754,2002-06-18,AXP,0.0,0.0,Gain
796,2002-07-31,AXP,0.0,1.0,Gain
799,2002-08-01,AXP,1.0,0.0,Loss
822,2002-09-09,AXP,1.0,0.0,Gain
832,2002-09-18,AXP,0.0,0.0,Loss
873,2002-11-05,AXP,1.0,0.0,Loss
954,2003-02-25,AXP,0.0,0.0,Gain
1009,2003-05-20,AXP,1.0,0.0,Loss
1047,2003-07-10,AXP,0.0,0.0,Loss
1048,2003-07-11,AXP,0.0,1.0,Gain
1158,2003-12-18,AXP,0.0,1.0,Gain
1185,2004-01-29,AXP,0.0,1.0,Gain
1194,2004-02-12,AXP,0.0,0.0,Loss
1252,2004-05-18,AXP,0.0,0.0,Gain
1295,2004-07-27,AXP,0.0,1.0,Gain
1298,2004-08-02,AXP,1.0,0.0,Gain
1368,2004-12-09,AXP,1.0,0.0,Loss
1374,2004-12-14,AXP,0.0,1.0,Gain
1380,2004-12-21,AXP,0.0,1.0,Gain
1386,2005-01-11,AXP,1.0,0.0,Loss
1403,2005-02-01,AXP,0.0,1.0,Gain
1431,2005-03-17,AXP,0.0,1.0,Loss
1498,2005-08-10,AXP,0.0,1.0,Gain
1569,2005-11-21,AXP,0.0,1.0,Gain
1572,2005-11-22,AXP,0.0,1.0,Gain
1624,2006-02-02,AXP,0.0,1.0,Loss
1701,2006-07-25,AXP,0.0,1.0,Gain
1774,2006-11-17,AXP,0.0,0.0,Gain
1783,2006-12-05,AXP,1.0,0.0,Loss
1821,2007-02-28,AXP,0.0,1.0,Gain
1833,2007-04-02,AXP,0.0,1.0,Loss
1891,2007-07-24,AXP,1.0,0.0,Loss
1933,2007-10-22,AXP,1.0,0.0,Loss
1959,2007-12-07,AXP,1.0,0.0,Loss
1972,2008-01-11,AXP,1.0,0.0,Loss
1981,2008-01-22,AXP,1.0,0.0,Loss
1999,2008-02-01,AXP,1.0,0.0,Gain
2001,2008-02-04,AXP,1.0,0.0,Loss
2006,2008-02-11,AXP,1.0,0.0,Loss
2066,2008-07-01,AXP,0.0,1.0,Gain
2074,2008-07-14,AXP,0.0,1.0,Loss
2083,2008-07-22,AXP,1.0,0.0,Loss
2134,2008-11-13,AXP,1.0,0.0,Gain
2154,2008-12-10,AXP,2.0,0.0,Loss
2161,2008-12-12,AXP,1.0,0.0,Gain
2162,2008-12-17,AXP,1.0,0.0,Loss
2218,2009-03-25,AXP,1.0,0.0,Gain
2230,2009-04-07,AXP,0.0,1.0,Loss
2236,2009-04-14,AXP,1.0,0.0,Loss
2245,2009-04-16,AXP,0.0,1.0,Gain
2262,2009-05-12,AXP,1.0,0.0,Loss
2284,2009-07-06,AXP,0.0,1.0,Gain
2300,2009-08-06,AXP,0.0,1.0,Gain
2303,2009-08-10,AXP,1.0,0.0,Loss
2307,2009-08-18,AXP,0.0,1.0,Gain
2311,2009-08-24,AXP,0.0,1.0,Loss
2326,2009-09-25,AXP,0.0,1.0,Loss
2342,2009-10-19,AXP,0.0,1.0,Gain
2349,2009-10-26,AXP,0.0,1.0,Gain
2390,2010-01-26,AXP,0.0,1.0,Gain
2484,2010-11-05,AXP,0.0,1.0,Gain
2494,2010-12-20,AXP,1.0,0.0,Loss
2713,2013-06-13,AXP,0.0,0.0,Gain
2714,2013-06-14,AXP,1.0,0.0,Loss
2814,2014-11-13,AXP,0.0,0.0,Loss
21,2000-01-20,BA,0.0,1.0,Loss
64,2000-03-17,BA,0.0,1.0,Gain
93,2000-04-19,BA,0.0,1.0,Gain
99,2000-04-20,BA,0.0,1.0,Gain
170,2000-07-20,BA,0.0,1.0,Gain
187,2000-08-16,BA,1.0,0.0,Loss
197,2000-09-07,BA,1.0,0.0,Gain
217,2000-09-27,BA,0.0,1.0,Loss
221,2000-10-02,BA,1.0,0.0,Loss
258,2000-11-06,BA,1.0,0.0,Loss
303,2001-01-02,BA,1.0,0.0,Loss
309,2001-01-04,BA,0.0,1.0,Loss
318,2001-01-18,BA,1.0,0.0,Loss
346,2001-02-28,BA,0.0,1.0,Loss
359,2001-03-13,BA,0.0,1.0,Loss
368,2001-03-19,BA,0.0,1.0,Gain
426,2001-05-23,BA,1.0,0.0,Loss
437,2001-06-08,BA,1.0,0.0,Loss
449,2001-06-22,BA,2.0,0.0,Loss
491,2001-09-07,BA,1.0,0.0,Loss
500,2001-09-18,BA,1.0,0.0,Loss
584,2001-11-30,BA,1.0,0.0,Loss
649,2002-02-15,BA,1.0,0.0,Gain
650,2002-02-19,BA,1.0,0.0,Loss
727,2002-04-29,BA,0.0,1.0,Gain
774,2002-07-16,BA,0.0,2.0,Gain
855,2002-10-17,BA,1.0,0.0,Loss
941,2003-01-31,BA,0.0,1.0,Gain
951,2003-02-21,BA,0.0,0.0,Gain
953,2003-02-24,BA,0.0,0.0,Loss
962,2003-03-25,BA,0.0,0.0,Gain
992,2003-04-28,BA,1.0,0.0,Gain
1024,2003-06-05,BA,0.0,1.0,Gain
1031,2003-06-10,BA,0.0,1.0,Gain
1043,2003-07-01,BA,1.0,0.0,Gain
1215,2004-03-16,BA,1.0,0.0,Loss
1255,2004-05-24,BA,0.0,1.0,Gain
1262,2004-06-07,BA,0.0,1.0,Gain
1277,2004-07-01,BA,1.0,0.0,Loss
1281,2004-07-06,BA,0.0,1.0,Loss
1327,2004-09-29,BA,1.0,0.0,Loss
1330,2004-10-14,BA,0.0,0.0,Gain
1332,2004-10-19,BA,1.0,0.0,Loss
1342,2004-11-04,BA,1.0,0.0,Loss
1384,2005-01-10,BA,0.0,1.0,Gain
1407,2005-02-03,BA,0.0,1.0,Loss
1436,2005-03-31,BA,0.0,0.0,Loss
1462,2005-05-10,BA,0.0,1.0,Gain
1465,2005-05-13,BA,0.0,1.0,Loss
1472,2005-06-03,BA,0.0,1.0,Gain
1517,2005-09-13,BA,0.0,1.0,Gain
1542,2005-10-14,BA,0.0,1.0,Gain
1597,2006-01-05,BA,1.0,0.0,Loss
1676,2006-06-14,BA,0.0,1.0,Gain
1719,2006-08-16,BA,0.0,1.0,Gain
1726,2006-09-14,BA,1.0,0.0,Loss
1764,2006-10-27,BA,0.0,1.0,Gain
1800,2007-01-22,BA,1.0,0.0,Loss
1822,2007-02-28,BA,0.0,1.0,Gain
1907,2007-09-05,BA,0.0,0.0,Loss
1926,2007-10-15,BA,1.0,0.0,Loss
1928,2007-10-18,BA,0.0,1.0,Gain
1952,2007-11-26,BA,0.0,1.0,Gain
1976,2008-01-16,BA,1.0,0.0,Gain
1977,2008-01-17,BA,0.0,1.0,Loss
2035,2008-04-14,BA,0.0,1.0,Gain
2086,2008-07-24,BA,1.0,0.0,Loss
2159,2008-12-11,BA,1.0,0.0,Loss
2172,2009-01-13,BA,1.0,0.0,Loss
2193,2009-02-10,BA,0.0,0.0,Loss
2227,2009-04-01,BA,1.0,0.0,Loss
2232,2009-04-09,BA,0.0,0.0,Gain
2253,2009-04-24,BA,1.0,0.0,Gain
2279,2009-06-24,BA,1.0,0.0,Loss
2294,2009-07-27,BA,1.0,0.0,Loss
2334,2009-10-01,BA,1.0,0.0,Loss
2362,2009-12-01,BA,1.0,0.0,Gain
2374,2010-01-04,BA,0.0,2.0,Gain
2392,2010-01-28,BA,0.0,1.0,Gain
2407,2010-03-04,BA,0.0,2.0,Gain
2411,2010-03-17,BA,0.0,1.0,Gain
2416,2010-03-22,BA,0.0,1.0,Gain
2430,2010-04-22,BA,0.0,1.0,Gain
2445,2010-06-08,BA,0.0,1.0,Gain
2465,2010-09-08,BA,0.0,1.0,Gain
2495,2011-01-05,BA,1.0,0.0,Gain
2533,2011-07-20,BA,0.0,1.0,Gain
2553,2011-10-14,BA,1.0,0.0,Gain
2591,2012-03-02,BA,0.0,1.0,Loss
2613,2012-05-21,BA,0.0,1.0,Gain
2617,2012-06-04,BA,0.0,1.0,Gain
2622,2012-06-25,BA,0.0,1.0,Loss
2675,2013-01-08,BA,1.0,0.0,Loss
2680,2013-01-17,BA,1.0,0.0,Gain
2691,2013-03-13,BA,0.0,1.0,Gain
2702,2013-04-26,BA,0.0,1.0,Gain
2743,2013-11-20,BA,1.0,0.0,Loss
2788,2014-06-11,BA,1.0,0.0,Loss
6,2000-01-06,CAT,0.0,1.0,Gain
9,2000-01-10,CAT,0.0,1.0,Loss
50,2000-03-06,CAT,0.0,1.0,Gain
59,2000-03-14,CAT,0.0,1.0,Gain
94,2000-04-19,CAT,1.0,0.0,Loss
117,2000-05-09,CAT,0.0,1.0,Loss
148,2000-07-05,CAT,1.0,0.0,Loss
162,2000-07-18,CAT,0.0,1.0,Gain
222,2000-10-02,CAT,1.0,0.0,Gain
223,2000-10-03,CAT,1.0,0.0,Gain
251,2000-10-26,CAT,0.0,0.0,Gain
295,2000-12-18,CAT,1.0,0.0,Gain
296,2000-12-19,CAT,0.0,1.0,Gain
305,2001-01-03,CAT,1.0,0.0,Gain
320,2001-01-19,CAT,1.0,0.0,Loss
328,2001-01-25,CAT,0.0,1.0,Gain
342,2001-02-20,CAT,1.0,0.0,Loss
351,2001-03-06,CAT,0.0,1.0,Gain
353,2001-03-07,CAT,0.0,1.0,Gain
397,2001-04-19,CAT,0.0,1.0,Loss
422,2001-05-21,CAT,1.0,0.0,Gain
429,2001-05-24,CAT,1.0,0.0,Loss
434,2001-06-01,CAT,0.0,1.0,Gain
438,2001-06-08,CAT,0.0,1.0,Loss
454,2001-06-28,CAT,0.0,1.0,Loss
495,2001-09-17,CAT,0.0,1.0,Loss
513,2001-09-24,CAT,0.0,1.0,Gain
522,2001-09-26,CAT,1.0,0.0,Loss
534,2001-10-05,CAT,0.0,1.0,Gain
536,2001-10-10,CAT,1.0,0.0,Gain
544,2001-10-17,CAT,1.0,1.0,Loss
591,2001-12-10,CAT,1.0,1.0,Loss
659,2002-02-28,CAT,1.0,0.0,Loss
676,2002-03-18,CAT,1.0,0.0,Loss
688,2002-04-03,CAT,1.0,0.0,Loss
704,2002-04-12,CAT,0.0,1.0,Loss
771,2002-07-12,CAT,0.0,0.0,Gain
775,2002-07-16,CAT,1.0,1.0,Loss
830,2002-09-17,CAT,0.0,1.0,Loss
856,2002-10-17,CAT,1.0,0.0,Gain
948,2003-02-19,CAT,0.0,1.0,Gain
984,2003-04-17,CAT,1.0,0.0,Gain
1021,2003-06-03,CAT,0.0,1.0,Gain
1078,2003-08-25,CAT,1.0,0.0,Loss
1120,2003-10-17,CAT,0.0,1.0,Loss
1150,2003-12-05,CAT,0.0,1.0,Gain
1183,2004-01-28,CAT,1.0,0.0,Loss
1191,2004-02-06,CAT,0.0,1.0,Gain
1209,2004-03-08,CAT,0.0,1.0,Gain
1256,2004-05-24,CAT,0.0,1.0,Gain
1300,2004-08-04,CAT,0.0,1.0,Gain
1308,2004-08-24,CAT,0.0,1.0,Gain
1336,2004-10-22,CAT,0.0,1.0,Gain
1340,2004-11-03,CAT,0.0,1.0,Gain
1343,2004-11-04,CAT,0.0,1.0,Gain
1429,2005-03-14,CAT,1.0,0.0,Loss
1452,2005-04-21,CAT,1.0,0.0,Gain
1473,2005-06-03,CAT,0.0,1.0,Loss
1474,2005-06-08,CAT,0.0,1.0,Gain
1528,2005-09-26,CAT,1.0,0.0,Loss
1610,2006-01-17,CAT,1.0,1.0,Gain
1654,2006-03-29,CAT,1.0,0.0,Loss
1656,2006-04-25,CAT,1.0,0.0,Loss
1671,2006-06-07,CAT,0.0,1.0,Loss
1730,2006-09-15,CAT,0.0,0.0,Loss
1735,2006-09-20,CAT,0.0,1.0,Loss
1805,2007-01-26,CAT,1.0,0.0,Gain
1813,2007-02-09,CAT,0.0,0.0,Loss
1842,2007-04-18,CAT,0.0,1.0,Gain
1862,2007-05-17,CAT,1.0,0.0,Loss
1880,2007-07-03,CAT,1.0,0.0,Loss
1949,2007-11-19,CAT,0.0,1.0,Loss
1973,2008-01-11,CAT,0.0,1.0,Loss
1988,2008-01-28,CAT,0.0,1.0,Gain
2027,2008-03-26,CAT,0.0,0.0,Gain
2041,2008-04-21,CAT,3.0,0.0,Loss
2054,2008-06-05,CAT,1.0,0.0,Gain
2085,2008-07-23,CAT,1.0,0.0,Loss
2123,2008-10-20,CAT,1.0,0.0,Gain
2180,2009-01-27,CAT,0.0,1.0,Loss
2181,2009-01-28,CAT,1.0,0.0,Gain
2189,2009-02-06,CAT,0.0,0.0,Gain
2246,2009-04-16,CAT,1.0,0.0,Loss
2251,2009-04-22,CAT,0.0,1.0,Gain
2260,2009-05-08,CAT,1.0,0.0,Gain
2281,2009-06-26,CAT,0.0,0.0,Gain
2327,2009-09-25,CAT,0.0,1.0,Loss
2343,2009-10-19,CAT,0.0,1.0,Gain
2344,2009-10-21,CAT,1.0,0.0,Loss
2393,2010-01-28,CAT,0.0,1.0,Loss
2417,2010-03-23,CAT,0.0,1.0,Gain
2423,2010-04-12,CAT,0.0,1.0,Gain
2446,2010-06-16,CAT,0.0,1.0,Gain
2546,2011-09-28,CAT,0.0,1.0,Loss
2603,2012-04-16,CAT,0.0,1.0,Gain
2630,2012-07-18,CAT,1.0,0.0,Gain
2652,2012-10-11,CAT,1.0,0.0,Loss
2692,2013-03-20,CAT,0.0,1.0,Loss
2726,2013-09-18,CAT,1.0,0.0,Gain
2767,2014-02-20,CAT,0.0,1.0,Gain
2769,2014-03-04,CAT,1.0,0.0,Gain
2797,2014-07-30,CAT,0.0,1.0,Loss
2817,2014-11-21,CAT,0.0,1.0,Gain
2835,2015-02-03,CAT,1.0,0.0,Gain
33,2000-02-07,CSCO,0.0,1.0,Gain
106,2000-04-28,CSCO,0.0,2.0,Gain
139,2000-06-16,CSCO,0.0,1.0,Gain
182,2000-08-08,CSCO,0.0,1.0,Loss
218,2000-09-28,CSCO,1.0,0.0,Gain
224,2000-10-03,CSCO,0.0,1.0,Gain
298,2000-12-20,CSCO,1.0,1.0,Loss
312,2001-01-10,CSCO,1.0,0.0,Loss
330,2001-01-30,CSCO,0.0,1.0,Gain
337,2001-02-07,CSCO,8.0,0.0,Loss
352,2001-03-06,CSCO,1.0,0.0,Gain
358,2001-03-12,CSCO,2.0,0.0,Loss
360,2001-03-13,CSCO,0.0,1.0,Gain
381,2001-03-30,CSCO,0.0,1.0,Gain
385,2001-04-02,CSCO,0.0,0.0,Loss
392,2001-04-16,CSCO,1.0,0.0,Loss
406,2001-04-25,CSCO,2.0,0.0,Loss
410,2001-05-04,CSCO,1.0,0.0,Gain
413,2001-05-08,CSCO,1.0,1.0,Gain
415,2001-05-09,CSCO,1.0,0.0,Loss
432,2001-05-29,CSCO,0.0,1.0,Loss
470,2001-07-23,CSCO,0.0,1.0,Gain
473,2001-07-30,CSCO,1.0,0.0,Loss
478,2001-08-08,CSCO,1.0,1.0,Loss
487,2001-08-24,CSCO,0.0,1.0,Gain
506,2001-09-20,CSCO,0.0,1.0,Loss
514,2001-09-24,CSCO,0.0,1.0,Gain
530,2001-10-03,CSCO,0.0,1.0,Gain
531,2001-10-04,CSCO,0.0,2.0,Gain
540,2001-10-15,CSCO,1.0,0.0,Loss
555,2001-10-29,CSCO,1.0,0.0,Loss
561,2001-11-06,CSCO,0.0,3.0,Gain
574,2001-11-16,CSCO,1.0,0.0,Loss
578,2001-11-19,CSCO,1.0,0.0,Gain
585,2001-12-05,CSCO,1.0,0.0,Gain
623,2002-01-18,CSCO,0.0,1.0,Loss
631,2002-01-24,CSCO,0.0,0.0,Gain
642,2002-02-04,CSCO,0.0,1.0,Loss
644,2002-02-07,CSCO,1.0,1.0,Loss
645,2002-02-08,CSCO,0.0,1.0,Loss
653,2002-02-22,CSCO,0.0,1.0,Gain
677,2002-03-19,CSCO,0.0,0.0,Gain
685,2002-04-01,CSCO,0.0,1.0,Gain
702,2002-04-10,CSCO,0.0,1.0,Gain
720,2002-04-24,CSCO,0.0,1.0,Gain
732,2002-05-08,CSCO,0.0,2.0,Gain
741,2002-05-24,CSCO,0.0,1.0,Loss
744,2002-05-29,CSCO,1.0,0.0,Loss
749,2002-06-10,CSCO,0.0,0.0,Loss
756,2002-06-21,CSCO,1.0,0.0,Loss
769,2002-07-10,CSCO,0.0,1.0,Gain
794,2002-07-25,CSCO,0.0,1.0,Loss
797,2002-07-31,CSCO,1.0,0.0,Loss
802,2002-08-05,CSCO,0.0,0.0,Loss
806,2002-08-13,CSCO,0.0,0.0,Loss
809,2002-08-20,CSCO,1.0,0.0,Loss
841,2002-10-03,CSCO,0.0,1.0,Loss
844,2002-10-09,CSCO,0.0,1.0,Gain
865,2002-10-28,CSCO,1.0,0.0,Loss
867,2002-10-29,CSCO,1.0,0.0,Loss
881,2002-11-14,CSCO,1.0,0.0,Gain
885,2002-11-19,CSCO,0.0,0.0,Loss
889,2002-11-22,CSCO,1.0,0.0,Loss
893,2002-11-25,CSCO,1.0,0.0,Neutral
898,2002-11-26,CSCO,0.0,1.0,Loss
900,2002-11-27,CSCO,0.0,1.0,Gain
901,2002-12-02,CSCO,1.0,0.0,Gain
925,2003-01-14,CSCO,0.0,1.0,Gain
960,2003-03-11,CSCO,0.0,1.0,Gain
966,2003-03-26,CSCO,0.0,0.0,Loss
967,2003-03-28,CSCO,0.0,1.0,Loss
973,2003-04-09,CSCO,0.0,0.0,Loss
999,2003-05-07,CSCO,0.0,1.0,Loss
1001,2003-05-08,CSCO,0.0,0.0,Loss
1004,2003-05-12,CSCO,0.0,1.0,Gain
1005,2003-05-13,CSCO,1.0,0.0,Loss
1012,2003-05-21,CSCO,1.0,0.0,Loss
1039,2003-06-24,CSCO,1.0,0.0,Loss
1045,2003-07-02,CSCO,0.0,1.0,Gain
1067,2003-08-04,CSCO,0.0,1.0,Gain
1068,2003-08-06,CSCO,1.0,1.0,Loss
1069,2003-08-07,CSCO,0.0,1.0,Loss
1083,2003-09-03,CSCO,0.0,1.0,Gain
1085,2003-09-04,CSCO,0.0,1.0,Gain
1091,2003-09-09,CSCO,0.0,1.0,Loss
1105,2003-09-24,CSCO,0.0,0.0,Loss
1131,2003-11-06,CSCO,0.0,4.0,Gain
1149,2003-12-04,CSCO,0.0,1.0,Gain
1151,2003-12-08,CSCO,0.0,1.0,Gain
1172,2004-01-09,CSCO,0.0,1.0,Gain
1173,2004-01-12,CSCO,2.0,0.0,Gain
1184,2004-01-28,CSCO,0.0,1.0,Loss
1188,2004-02-03,CSCO,0.0,1.0,Gain
1219,2004-03-23,CSCO,0.0,1.0,Gain
1237,2004-04-28,CSCO,0.0,1.0,Loss
1246,2004-05-12,CSCO,0.0,1.0,Loss
1301,2004-08-11,CSCO,2.0,0.0,Loss
1303,2004-08-13,CSCO,0.0,1.0,Gain
1311,2004-09-07,CSCO,0.0,1.0,Gain
1320,2004-09-17,CSCO,1.0,0.0,Loss
1324,2004-09-22,CSCO,1.0,0.0,Loss
1346,2004-11-10,CSCO,1.0,0.0,Loss
1390,2005-01-13,CSCO,0.0,1.0,Loss
1397,2005-01-24,CSCO,0.0,1.0,Loss
1443,2005-04-07,CSCO,0.0,1.0,Gain
1446,2005-04-12,CSCO,0.0,1.0,Gain
1464,2005-05-11,CSCO,0.0,1.0,Gain
1490,2005-07-14,CSCO,1.0,0.0,Loss
1505,2005-08-19,CSCO,0.0,1.0,Gain
1510,2005-09-06,CSCO,0.0,1.0,Gain
1516,2005-09-12,CSCO,1.0,0.0,Loss
1558,2005-11-08,CSCO,0.0,0.0,Gain
1570,2005-11-21,CSCO,1.0,0.0,Gain
1578,2005-12-07,CSCO,0.0,1.0,Gain
1601,2006-01-09,CSCO,0.0,1.0,Gain
1622,2006-01-31,CSCO,0.0,1.0,Loss
1628,2006-02-08,CSCO,0.0,2.0,Gain
