Date,Research Firm,Action,From,To,Ticker
2014-11-13,Deutsche Bank,Initiated,,Hold,AXP
2013-06-14,Barclays,Downgrade,Overweight,Equal Weight,AXP
2013-06-13,Oppenheimer,Initiated,,Perform,AXP
2010-12-20,Stifel Nicolaus,Downgrade,Buy,Hold,AXP
2010-11-05,Argus,Upgrade,Hold,Buy,AXP
2010-01-26,Ladenburg Thalmann,Upgrade,Sell,Neutral,AXP
2009-10-26,Stifel Nicolaus,Upgrade,Hold,Buy,AXP
2009-10-19,FBR Capital,Upgrade,Underperform,Mkt Perform,AXP
2009-09-25,William Blair,Initiated,,Outperform,AXP
2009-08-24,Barclays Capital,Upgrade,Equal Weight,Overweight,AXP
2009-08-18,Keefe Bruyette,Upgrade,Mkt Perform,Outperform,AXP
2009-08-10,Ladenburg Thalmann,Initiated,,Sell,AXP
2009-08-06,Citigroup,Upgrade,Hold,Buy,AXP
2009-07-06,Stifel Nicolaus,Upgrade,Sell,Hold,AXP
2009-05-12,RBC Capital Mkts,Initiated,,Underperform,AXP
2009-04-16,Sun Trust Rbsn Humphrey,Upgrade,Reduce,Neutral,AXP
2009-04-14,Stifel Nicolaus,Downgrade,Hold,Sell,AXP
2009-04-07,Citigroup,Upgrade,Sell,Hold,AXP
2009-03-25,JP Morgan,Downgrade,Overweight,Underweight,AXP
2008-12-17,Sun Trust Rbsn Humphrey,Initiated,,Reduce,AXP
2008-12-12,Deutsche Securities,Initiated,,Sell,AXP
2008-12-10,Banc of America Sec,Initiated,,Sell,AXP
2008-12-10,Citigroup,Initiated,,Sell,AXP
2008-11-13,Jefferies & Co,Initiated,,Underperform,AXP
2008-07-22,Oppenheimer,Downgrade,Outperform,Perform,AXP
2008-07-14,Fox Pitt,Initiated,,Outperform,AXP
2008-07-01,UBS,Upgrade,Sell,Neutral,AXP
2008-02-11,Keefe Bruyette,Downgrade,Outperform,Mkt Perform,AXP
2008-02-04,UBS,Downgrade,Buy,Sell,AXP
2008-02-01,Sandler O'Neill,Downgrade,Buy,Hold,AXP
2008-01-22,Citigroup,Downgrade,Buy,Hold,AXP
2008-01-11,Friedman Billings,Downgrade,Mkt Perform,Underperform,AXP
2007-12-07,Stifel Nicolaus,Downgrade,Buy,Hold,AXP
2007-10-22,Lehman Brothers,Downgrade,Overweight,Equal-weight,AXP
2007-07-24,Friedman Billings,Downgrade,Outperform,Mkt Perform,AXP
2007-04-02,Calyon Securities,Initiated,,Buy,AXP
2007-02-28,Friedman Billings,Upgrade,Mkt Perform,Outperform,AXP
2006-12-05,AG Edwards,Downgrade,Buy,Hold,AXP
2006-11-17,Goldman Sachs,Initiated,,Neutral,AXP
2006-07-25,Stifel Nicolaus,Upgrade,Hold,Buy,AXP
2006-02-02,Prudential,Initiated,,Overweight,AXP
2005-11-22,Citigroup,Initiated,,Buy,AXP
2005-11-21,UBS,Upgrade,Neutral,Buy,AXP
2005-08-10,Morgan Stanley,Upgrade,Underweight,Equal-weight,AXP
2005-03-17,CIBC Wrld Mkts,Initiated,,Sector Outperform,AXP
2005-02-01,Wachovia,Upgrade,Mkt Perform,Outperform,AXP
2005-01-11,Bernstein,Downgrade,Outperform,Mkt Perform,AXP
2004-12-21,JP Morgan,Initiated,,Overweight,AXP
2004-12-14,Fulcrum,Upgrade,Neutral,Buy,AXP
2004-12-09,UBS,Downgrade,Buy,Neutral,AXP
2004-08-02,Goldman Sachs,Downgrade,Outperform,In-Line,AXP
2004-07-27,Deutsche Securities,Upgrade,Hold,Buy,AXP
2004-05-18,Fulcrum,Initiated,,Neutral,AXP
2004-02-12,FTN Midwest,Initiated,,Neutral,AXP
2004-01-29,Piper Jaffray,Upgrade,Market Perform,Outperform,AXP
2003-12-18,UBS,Upgrade,Neutral,Buy,AXP
2003-07-11,AG Edwards,Initiated,,Buy,AXP
2003-07-10,CIBC Wrld Mkts,Initiated,,Sector Perform,AXP
2003-05-20,Friedman Billings,Downgrade,Outperform,Mkt Perform,AXP
2003-02-25,Legg Mason,Initiated,,Hold,AXP
2002-11-05,Merrill Lynch,Downgrade,Buy,Neutral,AXP
2002-09-18,UBS Warburg,Initiated,,Hold,AXP
2002-09-09,Deutsche Securities,Downgrade,Buy,Hold,AXP
2002-08-01,Merrill Lynch,Downgrade,NT Strong Buy/LT Strong Buy,NT Buy/LT Buy,AXP
2002-07-31,Lehman Brothers,Upgrade,Mkt Perform,Strong Buy,AXP
2002-06-18,USB Piper Jaffray,Initiated,,Market Perform,AXP
2002-04-19,Prudential,Upgrade,Hold,Buy,AXP
2002-04-19,CIBC Wrld Mkts,Upgrade,Hold,Buy,AXP
2002-03-12,Thomas Weisel,Upgrade,Mkt Perform,Buy,AXP
2002-03-11,Deutsche Bc Alex. Br,Upgrade,Mkt Perform,Buy,AXP
2002-02-14,JP Morgan,Upgrade,Mkt Perform,Buy,AXP
2001-12-14,Salomon Smth Brny,Initiated,,Buy,AXP
2001-12-11,Bernstein,Upgrade,Mkt Perform,Outperform,AXP
2001-11-16,UBS Warburg,Downgrade,Buy,Hold,AXP
2001-09-21,AG Edwards,Upgrade,Sell,Maintain Position,AXP
2001-09-18,JP Morgan,Downgrade,Buy,Mkt Perform,AXP
2001-09-17,AG Edwards,Downgrade,Maintain Position,Sell,AXP
2001-08-09,Thomas Weisel,Initiated,,Mkt Perform,AXP
2001-07-31,CIBC Wrld Mkts,Initiated,,Hold,AXP
2001-05-08,Mrgn Stnly,Downgrade,Outperform,Neutral,AXP
2001-04-26,Robertson Stephens,Initiated,,LT Attractive,AXP
2001-04-18,Keefe Bruyette,Initiated,,Mkt Perform,AXP
2001-04-02,USB Piper Jaffray,Upgrade,Buy,Strong Buy,AXP
2001-03-14,Prudential,Initiated,,Hold,AXP
2001-01-23,Merrill Lynch,Upgrade,NT Accum,NT Buy,AXP
2001-01-04,Bear Stearns,Downgrade,Buy,Attractive,AXP
2000-12-04,Deutsche Bc Alex. Br,Downgrade,Buy,Mkt Perform,AXP
2000-10-12,Goldman Sachs,Upgrade,Market Outperform,Recommended List,AXP
2000-10-11,CSFB,Initiated,,Hold,AXP
2000-09-29,ABN AMRO,Initiated,,Outperform,AXP
2000-09-14,First Union Sec,Initiated,,Hold,AXP
2000-07-21,Prudential,Upgrade,Hold,Strong Buy,AXP
2000-06-01,Banc of America Sec,Initiated,,Market Perform,AXP
2000-04-13,Lehman Brothers,Initiated,,Neutral,AXP
2000-01-11,CSFB,Initiated,,Buy,AXP
1999-10-29,Schroder & Co,Downgrade,Outperform,Perform-In-Line,AXP
1999-10-29,PaineWebber,Downgrade,Attractive,Neutral,AXP
1999-10-29,Mrgn Stnly Dn Wttr,Downgrade,Strong Buy,Outperform,AXP
1999-10-26,CIBC Wrld Mkts,Downgrade,Buy,Hold,AXP
1999-09-15,Prudential,Downgrade,Strong Buy,Accumulate,AXP
1999-09-13,Merrill Lynch,Initiated,,NT Accum/LT Buy,AXP
1999-06-07,Prudential,Upgrade,Accumulate,Strong Buy,AXP
1999-04-23,CIBC Oppenheimer,Downgrade,Strong Buy,Buy,AXP
1999-04-05,DLJ,Initiated,,Mkt Perform,AXP
1999-03-23,Prudential,Initiated,,Accumulate,AXP
1999-03-18,JP Morgan,Initiated,,Buy,AXP
1999-03-04,Salomon Smth Brny,Initiated,,Buy,AXP
1999-02-26,Piper Jaffray,Initiated,,Buy,AXP
1999-01-26,PaineWebber,Upgrade,Neutral,Attractive,AXP
1998-11-24,PaineWebber,Downgrade,Attractive,Neutral,AXP
1998-08-07,DLJ,Upgrade,Buy,Top Pick,AXP
1998-07-29,CBIC Oppenheimer,Initiated,,Strong Buy,AXP
1998-05-26,Lehman Bros,Upgrade,Outperform,Buy,AXP
1998-05-22,Lehman Bros,Upgrade,Outperform,Buy,AXP
1998-05-21,Lehman Bros,Upgrade,Outperform,Buy,AXP
2014-06-11,RBC Capital Mkts,Downgrade,Outperform,Sector Perform,BA
2013-11-20,Oppenheimer,Downgrade,Outperform,Perform,BA
2013-04-26,BB&T Capital Mkts,Upgrade,Hold,Buy,BA
2013-03-13,BB&T Capital Mkts,Upgrade,Underweight,Hold,BA
2013-01-17,BB&T Capital Mkts,Downgrade,Hold,Underweight,BA
2013-01-08,BB&T Capital Mkts,Downgrade,Buy,Hold,BA
2012-06-25,Oppenheimer,Upgrade,Perform,Outperform,BA
2012-06-04,Stifel Nicolaus,Upgrade,Hold,Buy,BA
2012-05-21,Argus,Upgrade,Hold,Buy,BA
2012-03-02,Maxim Group,Initiated,,Buy,BA
2011-10-14,Oppenheimer,Downgrade,Outperform,Perform,BA
2011-07-20,BB&T Capital Mkts,Initiated,,Buy,BA
2011-01-05,Argus,Downgrade,Buy,Hold,BA
2010-09-08,RBC Capital Mkts,Initiated,,Outperform,BA
2010-06-08,Deutsche Bank,Initiated,,Buy,BA
2010-04-22,Credit Suisse,Upgrade,Neutral,Outperform,BA
2010-03-22,Oppenheimer,Upgrade,Underperform,Outperform,BA
2010-03-17,Wedbush Morgan,Upgrade,Neutral,Outperform,BA
2010-03-04,C.K. Cooper,Initiated,,Buy,BA
2010-03-04,UBS,Upgrade,Sell,Neutral,BA
2010-01-28,Broadpoint AmTech Research,Upgrade,Neutral,Buy,BA
2010-01-04,Jesup & Lamont,Upgrade,Hold,Buy,BA
2010-01-04,Barclays Capital,Upgrade,Equal Weight,Overweight,BA
2009-12-01,HSBC Securities,Initiated,,Underweight,BA
2009-10-01,McAdams Wright Ragen,Downgrade,Buy,Hold,BA
2009-07-27,Barclays Capital,Downgrade,Overweight,Equal Weight,BA
2009-06-24,Oppenheimer,Downgrade,Perform,Underperform,BA
2009-04-24,Argus,Downgrade,Buy,Hold,BA
2009-04-09,Citigroup,Initiated,,Hold,BA
2009-04-01,Wachovia,Downgrade,Outperform,Mkt Perform,BA
2009-02-10,Jesup & Lamont,Initiated,,Hold,BA
2009-01-13,Credit Suisse,Downgrade,Outperform,Neutral,BA
2008-12-11,Bernstein,Downgrade,Outperform,Mkt Perform,BA
2008-07-24,Cowen & Co,Downgrade,Outperform,Neutral,BA
2008-04-14,AmTech Research,Upgrade,Sell,Neutral,BA
2008-01-17,Bernstein,Upgrade,Mkt Perform,Outperform,BA
2008-01-16,AmTech Research,Downgrade,Buy,Sell,BA
2007-11-26,Wachovia,Upgrade,Mkt Perform,Outperform,BA
2007-10-18,AmTech Research,Initiated,,Buy,BA
2007-10-15,Bernstein,Downgrade,Outperform,Mkt Perform,BA
2007-09-05,Deutsche Securities,Initiated,,Hold,BA
2007-02-28,JP Morgan,Upgrade,Underweight,Neutral,BA
2007-01-22,Wachovia,Downgrade,Outperform,Mkt Perform,BA
2006-10-27,Matrix Research,Upgrade,Hold,Strong Buy,BA
2006-09-14,UBS,Downgrade,Buy,Reduce,BA
2006-08-16,Stifel Nicolaus,Initiated,,Buy,BA
2006-06-14,Goldman Sachs,Upgrade,Underperform,In-Line,BA
2006-01-05,Banc of America Sec,Downgrade,Buy,Neutral,BA
2005-10-14,Prudential,Initiated,,Overweight,BA
2005-09-13,Wachovia,Initiated,,Outperform,BA
2005-06-03,Caris & Company,Initiated,,Buy,BA
2005-05-13,CSFB,Initiated,,Outperform,BA
2005-05-10,Thomas Weisel,Initiated,,Peer Perform,BA
2005-03-31,CIBC Wrld Mkts,Initiated,,Sector Perform,BA
2005-02-03,Banc of America Sec,Upgrade,Neutral,Buy,BA
2005-01-10,Jefferies & Co,Initiated,,Buy,BA
2004-11-04,CSFB,Downgrade,Outperform,Neutral,BA
2004-10-19,Fulcrum,Initiated,,Sell,BA
2004-10-14,Prudential,Initiated,,Neutral,BA
2004-09-29,Banc of America Sec,Downgrade,Buy,Neutral,BA
2004-07-06,Wachovia,Upgrade,Underperform,Mkt Perform,BA
2004-07-01,Merrill Lynch,Downgrade,Buy,Neutral,BA
2004-06-07,Lehman Brothers,Upgrade,Equal-weight,Overweight,BA
2004-05-24,CSFB,Upgrade,Neutral,Outperform,BA
2004-03-16,CSFB,Downgrade,Outperform,Neutral,BA
2003-07-01,Deutsche Securities,Downgrade,Hold,Sell,BA
2003-06-10,Banc of America Sec,Upgrade,Neutral,Buy,BA
2003-06-05,Sanders Morris Harris,Upgrade,Hold,Buy,BA
2003-04-28,JP Morgan,Downgrade,Neutral,Underweight,BA
2003-03-25,Soundview Technology,Initiated,,Neutral,BA
2003-02-24,UBS Warburg,Initiated,,Neutral,BA
2003-02-21,Prudential,Initiated,,Hold,BA
